source_system_code,master_customer_id,council_tax_id
name_238,2024-08-26,name_238
name_239,2024-08-27,name_239
name_240,2024-08-28,name_240
name_241,2024-08-29,name_241
name_242,2024-08-30,name_242
name_243,2024-08-31,name_243
name_244,2024-09-01,name_244
name_245,2024-09-02,name_245
name_246,2024-09-03,name_246
name_247,2024-09-04,name_247
name_248,2024-09-05,name_248
name_249,2024-09-06,name_249
name_250,2024-09-07,name_250
name_251,2024-09-08,name_251
name_252,2024-09-09,name_252
name_253,2024-09-10,name_253
name_254,2024-09-11,name_254
name_255,2024-09-12,name_255
name_256,2024-09-13,name_256
name_257,2024-09-14,name_257
name_258,2024-09-15,name_258
name_259,2024-09-16,name_259
name_260,2024-09-17,name_260
name_261,2024-09-18,name_261
name_262,2024-09-19,name_262
name_263,2024-09-20,name_263
name_264,2024-09-21,name_264
name_265,2024-09-22,name_265
name_266,2024-09-23,name_266
name_267,2024-09-24,name_267
name_268,2024-09-25,name_268
name_269,2024-09-26,name_269
name_270,2024-09-27,name_270
name_271,2024-09-28,name_271
name_272,2024-09-29,name_272
name_273,2024-09-30,name_273
name_274,2024-10-01,name_274
name_275,2024-10-02,name_275
name_276,2024-10-03,name_276
name_277,2024-10-04,name_277
name_278,2024-10-05,name_278
name_279,2024-10-06,name_279
name_280,2024-10-07,name_280
name_281,2024-10-08,name_281
name_282,2024-10-09,name_282
name_283,2024-10-10,name_283
name_284,2024-10-11,name_284
name_285,2024-10-12,name_285
name_286,2024-10-13,name_286
name_287,2024-10-14,name_287
name_288,2024-10-15,name_288
name_289,2024-10-16,name_289
name_290,2024-10-17,name_290
name_291,2024-10-18,name_291
name_292,2024-10-19,name_292
name_293,2024-10-20,name_293
name_294,2024-10-21,name_294
name_295,2024-10-22,name_295
name_296,2024-10-23,name_296
name_297,2024-10-24,name_297
name_298,2024-10-25,name_298
name_299,2024-10-26,name_299
name_300,2024-10-27,name_300
name_301,2024-10-28,name_301
name_302,2024-10-29,name_302
name_303,2024-10-30,name_303
name_304,2024-10-31,name_304
name_305,2024-11-01,name_305
name_306,2024-11-02,name_306
name_307,2024-11-03,name_307
